description,record_tracking_list_display_format_id,age_group_desc,record_tracking_list_event_id,gender,distance,stroke_code,course_code,RANK,swim_time,individual_time_id,relay_time_id,preferred_name,first_name,last_name,lsc_id,club_code,team_code,ind_meet_name,rel_meet_name,country_code,location,location_country_code,swim_date,session_desc,relay_lead_yn,bios_display_swap_first_last_name_yn,disable_name_swapping_yn
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,1,1/1/1900 12:00:24 AM,118764900,,Ronald,Ronald,Dalmacio,CA,ROSE,,2017 CA ROSE May 12-13 LC Inte,,   ,Pasadena,,5/13/2017,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,2,1/1/1900 12:00:25 AM,143556833,,,Thomas,Heilman,VA,CYAC,,2019 VA Long Course Age Group,,   ,Christiansburg,,7/27/2019,,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,3,1/1/1900 12:00:25 AM,64447484,,Michael,Michael,Andrew,SI,UN,,2012 CO Vortex Shamrock Shindi,,,Ft Collins,,3/25/2012,Final,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,4,1/1/1900 12:00:25 AM,118303421,,Rafael,Kaihan,Gu,CA,ROSE,,2017 CA ROSE Everything Coming,,   ,Pasadena,,4/22/2017,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,5,1/1/1900 12:00:25 AM,98504290,,,Winn,Aung,SN,RAD,,2015 CC Arena Grand Challenge,,   ,Fresno,,7/11/2015,Prelim,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,6,1/1/1900 12:00:25 AM,,,,Kiron,Das,ME,PPSC,,,,   ,Saint John,,7/21/2016,,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,7,1/1/1900 12:00:25 AM,1771620,,Greg,Gregory,Pelton,NE,WYW,,2003 AM Eastern Zone Champs,,,Pittsburgh,,8/6/2003,,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,8,1/1/1900 12:00:25 AM,77902489,,Will,William,Tarvestad,PC,TS,,2013 SC Southern Zone Age Grou,,,Greenville,,7/30/2013,Final,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,8,1/1/1900 12:00:25 AM,85014652,,Vinny,Vincent,Marciano,NJ,MCSC,,2014 NI - Speedo Champions Series LC,,   ,Buffalo,,3/27/2014,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,10,1/1/1900 12:00:25 AM,,,Michael,Michael,Robinson,MS,MMST,,,,   ,Midland,,8/4/2018,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,11,1/1/1900 12:00:25 AM,40765453,,,Caeleb,Dressel,FL,SPAC,,2009 SZ Age Group Championship,,,Florida,,7/28/2009,Final,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,12,1/1/1900 12:00:25 AM,1070524,,Alex,Alexander,Forbes,FL,SLA,,2000 US Top 16,,,Denver,,8/1/2000,,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,13,1/1/1900 12:00:25 AM,87097322,,Kimani,Kimani,Gregory,NC,PSTR,,2014 AM Senior Circuit,,,Pittsburgh,,6/27/2014,Final,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,14,1/1/1900 12:00:25 AM,,,Ryan,Raymond,Papa,MI,CW,,,,,Camp Springs,,1/1/1989,,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,15,1/1/1900 12:00:25 AM,,,Ben,Benjamin,Davidson,MS,SCSO,,,,,,,1/1/1993,,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,15,1/1/1900 12:00:25 AM,,,Aiden,Aiden,Grigsby,IE,VS,,,,   ,Wenatchee,,6/28/2019,,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,17,1/1/1900 12:00:25 AM,,,Hank,Hank,Rivers,CA,LBSH,,,,   ,Irvine,,5/29/2016,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,17,1/1/1900 12:00:25 AM,132701639,,,Jeremy,Kelly,ST,NTRO,,2018 ST TXLA Long Course TAGS,,   ,Austin,,7/29/2018,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,19,1/1/1900 12:00:25 AM,,,,Kevin,Schuster,IL,MAVS,,,,,Buffalo,,7/24/2003,,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,20,1/1/1900 12:00:25 AM,67675876,,Tan,Tucson,Dunn,GA,SCAT,,2012 NT LC Southern Zone Champ,,,Rockwall ,,7/31/2012,Final,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,21,1/1/1900 12:00:25 AM,1070974,,,Maverick,Smalley,NT,TWST,,2000 US Top 16,,,,,8/1/2000,,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,22,1/1/1900 12:00:25 AM,,,Sammy,Samuel,Empey,OR,CRST,,,,   ,Roseville Aquatic Complex,,8/11/2018,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,23,1/1/1900 12:00:25 AM,87851059,,Isaac,Isaac,Grinberg,OH,SYL,,2014 OH LC Junior Olympics,,,Oxford,,7/19/2014,,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,24,1/1/1900 12:00:25 AM,,,Matthew,Matthew,Hirschberger,PC,CAT,,,,,Orlando,,7/14/2011,Final,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,24,1/1/1900 12:00:25 AM,67466206,,Ethan,Ethan,Morse,IL,FOX,,2012 IL LC Age Group Champions,,   ,Village of Pleasant,,7/26/2012,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,26,1/1/1900 12:00:25 AM,132702548,,,River,Paulk,WT,LSC,,2018 ST TXLA Long Course TAGS,,   ,Austin,,7/29/2018,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,27,1/1/1900 12:00:25 AM,121678365,,Justin,Justin,Schneider,CA,TMEC,,2017 SI North American Challenge Cup,,   ,"La Jolla, CA",,8/6/2017,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,28,1/1/1900 12:00:25 AM,25837197,,,Andrew,Jovanovic,IL,NASA,,2007 LE Central Zone ,,,Cleveland,,8/3/2007,,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,29,1/1/1900 12:00:25 AM,,,,Andrew,Trepanier,MI,STRM,,,,,Minneapolis,,7/25/2013,Final,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,30,1/1/1900 12:00:25 AM,99178753,,Atesh,Atesh,Camurdan,VA,NOVA,,2015 VA LC AG Champs-,,   ,Christiansburg,,7/25/2015,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,31,1/1/1900 12:00:25 AM,,,Jackson,Jackson,Defore,SE,T2,,,,,Orlando,,7/14/2011,Final,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,31,1/1/1900 12:00:25 AM,88268795,,Destin,Destin,Lasco,MA,PVA,,2014  MA GPAC Middle Atlantic LC Junior Olympics,,,Gloucester ,,7/24/2014,Final,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,33,1/1/1900 12:00:25 AM,46749910,,,Collin,Turner,MD,NBAC,,2010 MD Carol Chidester Memorial Swim,,,Baltimore,,4/30/2010,Final,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,33,1/1/1900 12:00:25 AM,132384041,,Michael,Michael,Mullen,PV,NCAP,,2018 PV LC 14&U Championships,,   ,College Park,,7/22/2018,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,35,1/1/1900 12:00:25 AM,1070689,,,Lee,Robertson,VA,SMAC,,2000 US Top 16,,,,,8/1/2000,,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,35,1/1/1900 12:00:25 AM,99557803,,Antony,Antony,Demott,GA,BT,,2015 MS Southern Zones Age Group,,   ,Tupelo,,8/8/2015,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,37,1/1/1900 12:00:25 AM,40764293,,,Seth,Beer,GA,SA,,2009 SZ Age Group Championship,,,,,7/28/2009,Final,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,38,1/1/1900 12:00:25 AM,148922,,,Corey,Swanson,FL,ABF,,2001 US Abf Memoria,,,,,5/25/2001,,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,39,1/1/1900 12:00:26 AM,97925273,,Kai,Kaikea,Crews,SN,HSC,,2015 HI MAGSA LCM B3,,   ,Kihei,,6/27/2015,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,40,1/1/1900 12:00:26 AM,77900968,,,Lucas,Kravchenko,FL,CBS,,2013 SC Southern Zone Age Grou,,,Greenville,,7/30/2013,Final,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,41,1/1/1900 12:00:26 AM,,,,Jason,Cobb,OH,BGSC,,,,,,,1/1/1995,,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,41,1/1/1900 12:00:26 AM,1070339,,Brad,Bradley,Jones,IA,PACK,,2000 US Top 16,,,,,8/1/2000,,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,41,1/1/1900 12:00:26 AM,132700918,,Dylan,Dylan,England,ST,COTA,,2018 ST TXLA Long Course TAGS,,,Austin,,7/29/2018,Final,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,44,1/1/1900 12:00:26 AM,,,,Cliff,Arslanian,US,UN,,,,,,,1/1/1988,,N,,N
